"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.82600325021685e-07,32,85,2.88742692879054,"Path:ptr05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05412"," ACTB  ITGB1  ITGB7  ITGA7  ATP2A1  JUP  LAMA1  DSG2  RYR2  SNTA1  CTNNA2  ITGA6  ITGAV  CACNA2D2  CACNA1D  CACNA2D3  LEF1  SGCD  DSP  CACNA2D1  DMD  CACNA2D4  CACNA1C  NOS1  SLC8A3  SGCA  ACTN2  SLC8A1  ITGA9  TCF7  CTNNA3  ACTG1"
2.25245032000501e-05,32,97,2.53021947368243,"Path:ptr05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05410"," AGT  ACTB  ITGB1  ITGB7  ITGA7  MYL2  PRKAB1  ATP2A1  LAMA1  PRKAB2  RYR2  SNTA1  ITGA6  TTN  ITGAV  CACNA2D2  CACNA1D  CACNA2D3  SGCD  EDN1  CACNA2D1  DMD  CACNA2D4  CACNA1C  NOS1  SLC8A3  SGCA  SLC8A1  PRKAG3  ITGA9  MYH7  ACTG1"
2.84102577663909e-10,63,191,2.5298054979832,"Path:ptr04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?ptr04814"," DNAH17  TUBB3  MYO18A  KIF2A  DNAH11  MYO9B  MYL11  ACTB  KIF3A  KIF20B  KIF18A  DYNC2H1  KIF5A  MYL2  DNAH10  MYO16  ACTR10  DYNC1H1  MYO5C  DNAH3  DNAH9  MYH3  MYH2  MYH8  MYH10  DNAH2  MYO5B  MYO1F  KIF2C  KIF21B  DNAH14  KIF26B    MYO18B  DCTN1  DNAH6  MYO1B  DNAH7  CENPE  DNAH5  KIFC1  MYO6  MYL7  KIF13B  HOOK3  DNAI1  ACTR1A  KLC2  MYO7A  MYH14  MYH9  MYO3B  KIF13A  TUBE1  TUBD1  DYNC1LI2  STARD9  KIF9  MYH7  ACTG1  MYL6B  KIF4A  DNAH8"
0.000149257013424023,28,87,2.46841813596318,"Path:ptr04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ptr04512"," HSPG2  ITGB1  CD44  ITGB7  ITGA7  COL4A1  COL4A2  LAMA1  LAMA3  THBS3  LAMC1  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  LAMB2  FRAS1    LAMA4  RELN  LAMB1  LAMC3  COL4A5  FREM2  ITGA9  COL6A2"
0.000178574765164907,29,93,2.3916355441763,"Path:ptr04520 Adherens junction","https://www.genome.jp/kegg-bin/show_pathway?ptr04520"," MYL11  ACTB  SORBS1  PTPRJ  MYL2  LMO7  TJP1  BAIAP2  PTPRM  INSR  WASF2  PTPRF  EP300  CTNNA2  HEG1  LEF1  MAP3K7  FYN  AFDN  RADIL  EGFR  MYL7  FGFR1  IQGAP1  CREBBP  NLK  TCF7  CTNNA3  ACTG1"
0.000500908962717372,30,103,2.23390129502909,"Path:ptr05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ptr05414"," AGT  ACTB  ITGB1  ITGB7  ITGA7  MYL2  ATP2A1  LAMA1  RYR2  SNTA1  ITGA6  TTN  ITGAV  CACNA2D2  CACNA1D  CACNA2D3  SGCD  CACNA2D1  DMD  CACNA2D4  CACNA1C  NOS1  SLC8A3  SGCA  PRKACB  SLC8A1  ITGA9  ADCY5  MYH7  ACTG1"
6.04215199885931e-07,56,195,2.20258849055176,"Path:ptr04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ptr04510"," GSK3B  MYLK  MYL11  ACTB  ITGB1  PAK1  ITGB7  ITGA7  MYL2  COL4A1  COL4A2  SHC4  RASGRF1  PRKCA  LAMA1  LAMA3  PIP5K1C  ARHGAP35  PPP1R12C  VAV3  THBS3  LAMC1  PARVB  PPP1CB  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  LAMB2  FLNB  PAK2  EGF  PIK3R1  DIAPH1  FLT4    FYN  LAMA4  EGFR  RELN  LAMB1  MYL7  PTK2  LAMC3  TLN1  COL4A5  FLNA  PTEN  ITGA9  COL6A2  PDGFC  PPP1CA  ACTG1  PARVA"
1.72023970766933e-07,64,227,2.16239021098851,"Path:ptr04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?ptr04820"," HSPG2  COL5A1  MYL11  ACTB  ITGB1  ANKRD2  SPTBN2  FMNL3  ITGB7  ITGA7  MYL2  COL4A1  COL4A2  DIAPH3  JUP  MYH3  MYH2  MYH8  MYH10  LAMA1  MYOM1  DSG2  FBN3  COL5A3  SPTBN4  THBS3  OBSCN  SNTA1  SPTBN1  NEB  ITGA6  TTN  ITGAV  FN1  COL4A4  COL4A3  COL6A3  ANK2  DIAPH1  SGCD  DSP  SYNE1  MYL7  TRIM55  COL27A1  TLN1  DMD  COL4A5  SGCA  MYH14  ACTN2  AMPD2  NID1  MYH9  ITGA9    COL6A2  LDB3  FMNL1  NEBL  ANKRD23  MYH7  ACTG1  MYBPC2"
0.00236046984822719,26,93,2.14422497064082,"Path:ptr03015 mRNA surveillance pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr03015","   FUS  UPF2  PCF11  MSI1  PPP2R3C  PPP2R5E  PPP2R5C  DDX19B  SMG6  EIF4A3  SYMPK  UPF1  SRRM1  SMG7  CPSF3  PPP1CB  WDR82  ETF1  PPP2R2B  PPP2R5D  NXF3  UPF3B  CSTF2  PPP1CA"
0.00415801413804723,26,97,2.05580332236697,"Path:ptr04925 Aldosterone synthesis and secretion","https://www.genome.jp/kegg-bin/show_pathway?ptr04925"," AGT  PDE2A  KCNJ5  ATP2B1  ATF1  PRKD1  PRKCA  CACNA1G  PLCB4  CACNA1I  CALM2  NR4A2  CREB1  ATP2B2  CACNA1D  ITPR3  ATP2B3  CACNA1C  CREB3L3  PRKD2  PRKACB  CAMK1G  ADCY5  NPPA    CYP11A1"
