species	seq_type	N	min	max	mean	q1	median	q3
human	downstream	205741	0	39.4	2.3	0	3	4
human	upstream	213772	0	48	2.9	0	3.3	4
human	exon	89905	0	8.3	3.9	3.6	3.8	4.2
human	intron	217292	0	19.6	3.7	3.4	3.6	3.8
bonobo	exon	60254	0	8.2	4	3.6	3.9	4.2
bonobo	intron	205919	0	21.8	3.7	3.4	3.6	3.8
bonobo	downstream	194010	0	30	2.3	0	3	4
bonobo	upstream	197542	0	44.3	2.9	0	3.3	4
chimpanzee	intron	211926	0	16	3.7	3.4	3.6	3.8
chimpanzee	downstream	198674	0	30	2.3	0	3	4
chimpanzee	exon	74244	0	8.2	3.9	3.6	3.8	4.2
chimpanzee	upstream	202823	0	48	2.9	0	3.3	4
gorilla	exon	59557	0	8.3	4	3.6	3.9	4.2
gorilla	intron	206573	0	16	3.7	3.4	3.6	3.8
gorilla	upstream	197026	0	48	2.9	0	3.3	4
gorilla	downstream	194182	0	30	2.3	0	3	4
borangutan	upstream	195908	0	58	2.8	0	3.3	4
borangutan	downstream	193675	0	32	2.3	0	3	4
borangutan	intron	206612	0	56	3.6	3.4	3.6	3.8
borangutan	exon	58777	0	8.6	3.9	3.6	3.9	4.2
sorangutan	upstream	195861	0	38	2.8	0	3.3	4
sorangutan	intron	206242	0	51	3.6	3.4	3.6	3.8
sorangutan	downstream	193201	0	32	2.3	0	3	4
sorangutan	exon	60106	0	8.6	3.9	3.6	3.8	4.2
gibbon	intron	213838	0	31	3.7	3.5	3.6	3.8
gibbon	downstream	195680	0	33	2.3	0	3	4
gibbon	exon	68038	0	8.5	3.9	3.6	3.9	4.2
gibbon	upstream	200087	0	34	2.9	0	3.3	4
